FENAME,编码SOC,FCNAME,ELEMID,k_un1990,k_un1991,k_un1992,k_un1993,k_un1994,k_un1995,k_un1996,k_un1997,k_un1998,k_un1999,k_un2000,k_un2001,k_un2002,k_un2003,k_un2004,k_un2005,k_un2006,k_un2007,k_un2008,k_un2009,k_un2010,k_un2011,k_un2012,k_un2013,k_un2014,k_un2015,k_un2016,k_un2017,k_un2018,k_un2019,k_un2020
United States of Mexico,MEX,墨西哥,9,81720428,83351595,84993164,86648447,88314424,89969572,91586555,93183094,94767284,96334810,97873442,99394288,100917081,102429341,103945813,105442402,106886790,108302973,109684489,111049428,112532401,114150481,115755909,117290686,118755887,120149897,121519222,122839258,124013862,125085311,125998302
Republic of the Marshall Islands,MHL,马绍尔群岛,40,46048,47054,48015,48944,49840,50702,51538,52358,53164,53834,54224,54413,54496,54493,54435,54336,54208,54038,53816,53593,53416,52972,52202,51352,50419,49410,48329,47187,45989,44728,43414
The former Yugoslav Republic of Macedoni,MKD,前南马其顿,184,2044174,2036686,2018023,1996893,1982458,1983964,1994226,2004234,2012844,2023778,2037936,2053384,2064737,2071142,2075874,2078662,2081076,2083488,2086227,2089788,2093828,2097099,2099478,2102215,2105291,2107962,2110196,2111979,2113491,2114176,2111072
Republic of Mali,MLI,马里,79,8945026,9123969,9310572,9506510,9711796,9921094,10131906,10359302,10620474,10916993,11239101,11583824,11952660,12342165,12751994,13180551,13623542,14080912,14551116,15032635,15529180,16039734,16514687,17004033,17551814,18112907,18700106,19311355,19934298,20567424,21224040
Republic of Malta,MLT,马耳他,190,365392,368670,371880,375241,378563,381848,385269,388838,392482,395982,399212,402152,404699,406919,408798,410208,411198,412081,413402,415500,418755,423571,429907,437525,446441,456579,467705,479497,491586,503634,515358
Union of Myanmar,MMR,缅甸,231,40099553,40680533,41237813,41788302,42337110,42880186,43423369,43972046,44516185,45041636,45538332,46014826,46480230,46924293,47338446,47724472,48088274,48445647,48729486,49015836,49390988,49794522,50218185,50648334,51072436,51483949,51892348,52288341,52666014,53040212,53423198
Mongolia,MNG,蒙古,210,2161433,2200076,2236494,2270311,2301510,2330334,2357033,2381771,2405148,2428488,2450980,2472601,2494617,2516454,2537949,2559255,2581242,2605643,2633887,2666712,2702520,2743938,2792349,2845154,2902823,2964749,3029555,3096030,3163991,3232430,3294335
Commonwealth of the Northern Mariana Isl,MNP,北马里亚纳,59,48002,48302,48128,47948,47780,48717,53367,60817,68500,76237,80338,79479,77162,74622,71898,69025,66060,63050,60032,57056,54087,52520,52359,52141,51856,51514,51133,50729,50304,49858,49586
Republic of Mozambique,MOZ,莫桑比克,119,13303458,13561176,13816882,14206254,14912874,15594830,16079554,16521724,16923195,17337893,17768505,18220716,18694946,19186754,19694411,20211114,20735982,21280513,21845571,22436660,23073723,23760421,24487611,25251731,26038704,26843246,27696493,28569441,29423878,30285595,31178239
Islamic Republic of Mauritania,MRT,毛里塔尼亚,80,2006027,2066302,2147527,2237064,2315192,2380342,2428816,2484278,2550501,2620612,2695003,2761823,2821703,2883326,2946576,3012360,3081230,3153508,3233336,3322616,3419461,3524249,3636114,3742959,3843174,3946220,4051890,4160014,4270712,4383848,4498604
Montserrat,MSR,蒙特塞拉特,20,10805,10569,10108,9547,8959,8342,7715,7069,6409,5767,5138,4704,4601,4627,4656,4693,4731,4770,4814,4871,4938,4961,4975,5010,5051,5059,5085,4698,4359,4505,4500
Martinique,MTQ,马提尼克,25,374271,380962,388246,395557,402788,409942,417045,424138,430299,433421,432544,429317,425458,419139,410135,400370,395551,395820,395474,394214,392181,389618,386986,384726,384390,383515,380345,377452,374841,372244,370391
Republic of Mauritius,MUS,毛里求斯,120,1090290,1104259,1118714,1133252,1147161,1160207,1172542,1184257,1194880,1205413,1215930,1225272,1233972,1242340,1250380,1258048,1264767,1270584,1275684,1279868,1283330,1286236,1288745,1290691,1292113,1293153,1293911,1294741,1295381,1296279,1297828
Republic of Malawi,MWI,马拉维,115,9539665,9831584,10115420,10257233,10131799,10112816,10310528,10512678,10732456,10973956,11229387,11498818,11784498,12087965,12411342,12755648,13118306,13495463,13889422,14298932,14718422,15146094,15581250,16024776,16477966,16938942,17405624,17881167,18367883,18867337,19377061
Malaysia,MYS,马来西亚,235,17517054,18017464,18526708,19050077,19588703,20136888,20689051,21249178,21810542,22368655,22945150,23542517,24142445,24739411,25333247,25923536,26509413,27092604,27664296,28217204,28717731,29184133,29660212,30134807,30606459,31068833,31526418,31975806,32399271,32804020,33199993
Republic of Namibia,NAM,纳米比亚,123,1369011,1415617,1461687,1509834,1558449,1605370,1650066,1693242,1735953,1778277,1819141,1856402,1888525,1915425,1939406,1962865,1986558,2011492,2038552,2067920,2099270,2132340,2167470,2204510,2243001,2282704,2323352,2364534,2405680,2446644,2489098
New Caledonia,NCL,新喀里多尼亚,54,177264,181720,186262,190782,195264,199701,204086,208421,212756,217118,221537,225987,230399,234685,238649,242141,245635,249367,253077,256976,261426,266304,271302,276394,280798,283032,283748,284348,284880,285374,286403
Republic of Niger,NER,尼日尔,81,8370648,8634640,8907644,9193078,9493324,9813918,10149937,10494201,10854920,11231470,11622665,12031430,12456518,12900790,13366884,13855222,14365168,14897873,15455176,16037915,16647543,17283112,17954407,18653199,19372014,20128124,20921743,21737922,22577058,23443393,24333639
Federal Republic of Nigeria,NGA,尼日利亚,93,95214257,97685360,100182045,102775464,105456121,108187610,110956183,113791181,116690527,119695565,122851984,126152678,129583026,133119801,136756848,140490722,144329764,148294028,152382506,156595758,160952854,165463745,170075932,174726123,179379016,183995784,188666931,193495907,198387623,203304492,208327404
Republic of Nicaragua,NIC,尼加拉瓜,26,4227820,4327290,4427172,4526688,4625260,4721929,4812392,4895962,4974552,5049878,5123222,5192764,5259006,5323062,5386223,5454678,5529812,5607453,5687744,5770638,5855734,5942553,6030607,6119379,6208676,6298598,6389235,6480532,6572232,6663924,6755895
Kingdom of the Netherlands,NLD,荷兰,160,14944548,15046584,15150685,15251086,15349478,15446668,15538616,15629905,15722594,15812487,15899135,15981636,16057040,16127579,16196036,16261831,16325677,16391232,16460770,16536208,16617117,16701472,16785299,16867352,16954081,17041107,17124505,17207198,17286042,17363262,17434557
Kingdom of Norway,NOR,挪威,150,4241636,4261886,4286557,4312136,4336740,4359333,4381510,4405334,4431676,4462142,4491202,4514017,4538438,4565167,4592277,4623689,4661087,4709576,4768654,4829200,4889741,4953561,5019056,5080668,5137924,5190356,5236590,5277392,5312320,5348278,5379839
Kingdom of Nepal,NPL,尼泊尔,203,19616530,20130779,20702133,21267359,21794751,22305571,22783969,23249417,23703328,24143157,24559500,24956071,25332178,25682908,26003965,26285110,26518971,26713655,26881544,27026941,27161567,27266399,27330694,27381555,27462106,27610325,27861186,28183426,28506712,28832496,29348627
Republic of Nauru,NRU,瑙鲁,44,9598,9902,10129,10226,10274,10316,10345,10363,10376,10383,10376,10363,10351,10344,10334,10318,10294,10267,10243,10233,10241,10283,10444,10694,10940,11185,11437,11682,11924,12132,12315
New Zealand,NZL,新西兰,71,3397388,3481599,3532562,3573742,3620890,3673893,3728458,3775852,3810044,3833494,3855266,3889578,3948584,4019941,4081408,4132781,4179978,4221494,4260239,4302886,4346338,4381269,4410284,4450644,4514195,4590590,4668081,4746252,4838526,4959034,5061134
Sultanate of Oman,OMN,阿曼,239,1804524,1895187,1985227,2071868,2133675,2172672,2209958,2245588,2279727,2312600,2344253,2374654,2403658,2431600,2468855,2515192,2560650,2605700,2651028,2697537,2881914,3206870,3535578,3816680,4009268,4191776,4398070,4541854,4601156,4602768,4543398
Islamic Republic of Pakistan,PAK,巴基斯坦,219,115414069,119203569,122375180,125546615,129245138,133117476,137234810,141330267,145476106,149694462,154369924,159217727,163262808,166876680,170648620,174372098,178069984,181924521,185931955,190123222,194454498,198602738,202205861,205337562,208251628,210969298,213524840,216379655,219731479,223293280,227196741
Republic of Panama,PAN,巴拿马,39,2449968,2502044,2554382,2607500,2661384,2716067,2771606,2827992,2885176,2943120,3001731,3061024,3120990,3181608,3243311,3305868,3368574,3431614,3495276,3559343,3623617,3688674,3754862,3821556,3888792,3957098,4026336,4096063,4165254,4232532,4294396
