FENAME,编码SOC,FCNAME,ELEMID,k_un1990,k_un1991,k_un1992,k_un1993,k_un1994,k_un1995,k_un1996,k_un1997,k_un1998,k_un1999,k_un2000,k_un2001,k_un2002,k_un2003,k_un2004,k_un2005,k_un2006,k_un2007,k_un2008,k_un2009,k_un2010,k_un2011,k_un2012,k_un2013,k_un2014,k_un2015,k_un2016,k_un2017,k_un2018,k_un2019,k_un2020
Kingdom of Swaziland,SWZ,斯威士兰,125,854011,889712,925165,953451,953737,953573,973588,990734,1005158,1018370,1030496,1041396,1050809,1058797,1065764,1071886,1077735,1084008,1089870,1094886,1099920,1105371,1111444,1118319,1125865,1133936,1142524,1151390,1160428,1169613,1180655
Netherlands Antilles,SXM,荷属安的列斯,35,27844,29820,31344,31823,31735,31596,31410,31195,30957,30718,30490,30401,30574,30877,31184,31494,31812,32136,32456,32763,33034,33309,35139,37696,39100,40205,41346,41882,42246,42980,43621
Republic of Seychelles,SYC,塞舌尔,114,71057,71754,72417,73040,73846,74735,75550,76531,77664,78833,80060,81262,82433,83592,84714,85883,87093,88324,89644,91030,92408,93827,95309,96714,98001,99240,100508,101810,103101,104372,105530
Syrian Arab Republic,SYR,叙利亚,198,12408996,12782280,13156406,13537060,13922626,14313450,14708879,15103996,15500542,15901202,16307654,16727948,17164021,17611356,18084007,18583557,19432009,20703005,21474059,21827220,22337562,22730733,22605577,21495821,20072232,19205178,18964252,18983373,19333463,20098251,20772595
Turks and Caicos Islands,TCA,特克斯和凯科斯群岛,7,11709,12328,13014,13704,14402,15101,15806,16516,17240,17984,18744,19578,20598,21740,22869,23995,25128,26268,27422,28581,29726,30816,32080,33594,34985,36538,38246,39844,41487,43080,44276
Republic of Chad,TCD,乍得,92,5827069,6042428,6302926,6448280,6592998,6888856,7200290,7450874,7709115,7981889,8259137,8538804,8838368,9196366,9613503,10005012,10365614,10722731,11098664,11496128,11894727,12317730,12754906,13216766,13697126,14140274,14592585,15085884,15604210,16126866,16644701
Republic of Togo,TGO,多哥,99,3875947,3990215,4106219,4078392,4092612,4279566,4445884,4592550,4728297,4867942,5008036,5145426,5281538,5421000,5565218,5711598,5874240,6047536,6222482,6398624,6571855,6748672,6926634,7106229,7288383,7473228,7661354,7852795,8046679,8243094,8442580
Kingdom of Thailand,THA,泰国,240,55228410,56099865,56939020,57776082,58610010,59424834,60211096,60989108,61745217,62442652,63066602,63649892,64222580,64776956,65311166,65821360,66319525,66826754,67328239,67813654,68270489,68712846,69157023,69578602,69960943,70294397,70607037,70898202,71127802,71307763,71475664
Republic of Tajikistan,TJK,塔吉克斯坦,229,5417860,5556306,5656208,5717806,5803992,5916173,6035600,6117068,6156804,6189565,6272998,6408810,6541754,6672492,6801204,6929144,7057417,7188391,7324627,7468596,7621779,7784819,7956382,8136610,8326348,8524062,8725318,8925525,9128132,9337003,9543207
Turkmenistan,TKM,土库曼斯坦,194,3720278,3821782,3926369,4031698,4133036,4226623,4301093,4363672,4431518,4501080,4569132,4635094,4698968,4758988,4819792,4885775,4954029,5024894,5100083,5180957,5267970,5360812,5458682,5560094,5663152,5766432,5868562,5968383,6065066,6158420,6250438
"East Timor,TMP",TLS,东帝汶,208,758106,772656,783705,795180,807114,819226,831269,843341,855410,866649,878360,893001,909638,926722,945988,969314,994564,1019362,1043076,1065540,1088486,1112976,1137676,1161555,1184830,1205813,1224562,1243235,1261845,1280438,1299995
Kingdom of Tonga,TON,汤加,52,98727,99010,99260,99492,99732,99976,100195,100658,101343,101982,102603,103210,103804,104410,105036,105634,106190,106638,106932,107144,107384,107610,107502,107089,106626,106122,105708,105415,105150,104951,105254
Republic of Trinidad and Tobago,TTO,特立尼达和多巴哥,36,1266518,1276224,1285502,1293974,1301393,1307822,1313434,1318171,1322572,1327062,1332203,1338567,1345964,1353548,1361172,1369075,1376919,1384860,1392802,1401191,1410296,1420020,1430377,1440729,1450661,1460177,1469330,1478607,1504709,1519955,1518147
Republic of Tunisia,TUN,突尼斯,74,8440024,8622853,8802540,8977173,9143142,9294102,9430550,9557948,9677148,9788067,9893316,9995124,10094561,10193798,10292224,10388344,10483558,10580394,10680380,10784504,10895062,11032528,11174383,11300284,11428948,11557778,11685668,11811443,11933042,12049314,12161723
Republic of Turkey,TUR,土耳其,242,54324142,55321172,56302037,57296008,58310245,59305490,60293786,61277426,62242204,63185615,64113547,65072018,65988663,66867327,67785075,68704714,69601333,70468869,71320726,72225638,73195345,74173854,75277439,76576117,78112074,79646178,81019394,82089826,82809304,83481684,84135428
Tuvalu,TUV,图瓦卢,62,9182,9354,9466,9517,9559,9585,9611,9630,9634,9640,9638,9621,9609,9668,9791,9912,10030,10149,10272,10408,10550,10700,10854,10918,10899,10877,10852,10828,10865,10956,11069
United Republic of Tanzania,TZA,坦桑尼亚,112,26206012,26890906,27580723,28469017,29598323,30560071,31140733,31785846,32626498,33499772,34463704,35414470,36353531,37333918,38360879,39439506,40562052,41716497,42870884,43957934,45110527,46416031,47786137,49253644,50814552,52542824,54401802,56267032,58090443,59872579,61704518
Republic of Uganda,UGA,乌干达,102,17586630,18171935,18801966,19462958,20125021,20680831,21249572,21876935,22537658,23279247,24020697,24763325,25545090,26354736,27146084,27946588,28773227,29629804,30509862,31412520,32341728,33295738,34273295,35273570,36336540,37477356,38748299,40127085,41515395,42949080,44404611
Ukraine,UKR,乌克兰,176,51589817,51672816,51785154,51778418,51487372,51061265,50616105,50169353,49745874,49320119,48879756,48414534,47976538,47605644,47261960,46912610,46592556,46313068,46062937,45863884,45683020,45516134,45406226,45307099,45148075,44982564,44833569,44657257,44446954,44211094,43909666
Oriental Republic of Uruguay,URY,乌拉圭,142,3117012,3135374,3153732,3171748,3189945,3208300,3226634,3245069,3262683,3278963,3292224,3300939,3306441,3310202,3313801,3317665,3322282,3328651,3336126,3344156,3352651,3361637,3371133,3381180,3391662,3402818,3413766,3422200,3427042,3428408,3429086
United States Of America,USA,美国,3,248083732,251560189,255175339,258779754,262273589,265660556,268984347,272395438,275835018,279181581,282398554,285470493,288350252,291109820,293947885,296842670,299753098,302743399,305694910,308512036,311182845,313876608,316651321,319375166,322033964,324607776,327210198,329791230,332140037,334319671,335942003
Republic of Uzbekistan,UZB,乌兹别克斯坦,241,20579100,21074304,21588138,22085918,22564732,23026206,23465926,23877289,24256775,24602708,24925554,25248445,25579030,25905904,26234923,26573423,26926819,27309616,27726810,28167842,28614227,29057458,29503051,29963226,30446542,30949417,31453574,31945682,32449576,32976948,33526656
Saint Vincent and the Grenadines,VCT,圣文森特和格林纳丁斯,31,112488,112780,113222,113621,113944,114174,114290,114276,114164,113994,113812,113641,113450,113108,112608,112042,111426,110824,110316,109840,109308,108702,108083,107450,106912,106482,105963,105548,105280,104924,104632
Republic of Venezuela,VEN,委内瑞拉,132,19750579,20226214,20700461,21172100,21640833,22107286,22572110,23037561,23503819,23966960,24427729,24880203,25330929,25782029,26226927,26668785,27102080,27525097,27933833,28327892,28715022,29096159,29470426,29838021,30193258,30529716,30741464,30563433,29825653,28971683,28490453
British Virgin Islands,VGB,英属维尔京群岛,13,15616,16090,16476,16855,17255,17674,18120,18592,19080,19586,20104,20657,21288,21982,22715,23497,24323,25191,26115,27044,27556,27962,28421,28657,28971,29366,29739,30060,30335,30610,30910
Virgin Islands of the United States,VIR,美属维尔京群岛,15,100685,100968,101535,102144,102641,103454,104631,105785,106868,107827,108185,108006,107726,107288,106743,106481,106514,106506,106482,106467,106142,105480,104773,104058,103383,102804,102316,101851,101365,100826,100442
Socialist Republic of Viet Nam,VNM,越南,245,66912613,68358820,69788747,71176405,72501087,73759110,74946448,76058603,77128424,78123713,79001142,79817777,80642308,81475825,82311227,83142095,83951800,84762269,85597241,86482922,87411012,88349117,89301326,90267739,91235504,92191398,93126528,94033048,94914330,95776716,96648685
Republic of Vanuatu,VUT,瓦努阿图,50,150882,154678,158577,162548,166560,170612,174714,178871,183088,187432,192074,197034,202125,207258,212422,217632,222923,228345,233952,239689,245453,251294,257313,263534,269927,276438,283218,290239,297298,304404,311685
Wallis and Futuna,WLF,瓦利斯和富图纳,68,13454,13598,13748,13900,14046,14180,14291,14390,14490,14600,14723,14852,14988,15031,14853,14552,14260,13964,13666,13392,13142,12900,12671,12464,12307,12182,12060,11936,11816,11714,11655
Independent State of Samoa,WSM,萨摩亚,66,168186,168701,169799,171362,173107,174902,176713,178543,180385,182211,184008,185530,186630,187440,188073,188626,189379,190478,191787,193176,194672,196351,198124,199939,201757,203571,205544,207630,209701,211905,214929
Republic of Yemen,YEM,也门,221,13375121,13895851,14433771,14988046,15553171,16103339,16614326,17108681,17608134,18114552,18628700,19143457,19660653,20188799,20733406,21320671,21966298,22641538,23329004,24029589,24743946,25475610,26223391,26984002,27753304,28516545,29274002,30034389,30790513,31546691,32284046
Reoublic of Montenegro,YUG,黑山共和国,185,621442,624954,627665,629554,630968,632066,633004,633608,633903,633723,633324,633065,632737,632352,632545,632876,632545,631922,631466,631182,631044,631788,633051,633946,634294,633966,633264,632438,631455,630396,629048
Republic of South Africa,ZAF,南非,127,39877570,40910958,41760755,42525440,43267982,43986084,44661603,45285048,45852166,46364682,46813266,47229714,47661514,48104048,48556071,49017148,49491756,49996094,50565812,51170779,51784921,52443326,53145033,53873616,54729551,55876504,56422274,56641209,57339635,58087055,58801926
Republic of Zambia,ZMB,赞比亚,117,7686401,7880466,8074337,8270918,8474216,8684134,8902019,9133156,9372430,9621238,9891136,10191964,10508294,10837973,11188040,11564870,11971568,12402073,12852966,13318087,13792086,14265814,14744658,15234976,15737793,16248230,16767761,17298054,17835893,18380477,18927715
Republic of Zimbabwe,ZWE,津巴布韦,121,10113893,10377815,10641501,10794918,10858594,10994042,11178171,11362402,11548364,11716454,11834676,11910978,11984644,12075828,12160882,12224752,12330490,12450568,12550348,12679810,12839770,13025785,13265331,13555422,13855753,14154937,14452704,14751101,15052184,15354608,15669666
